timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
260631253,-1.463,1.585,0.061,-0.005,0.035,1.036,255,48
260632638,-1.159,1.524,0.305,0.000,0.034,1.037,255,48
260633420,-0.976,1.402,0.244,0.003,0.028,1.029,255,48
260634640,-1.037,1.646,0.427,-0.002,0.025,1.038,255,48
260635386,-0.976,1.341,0.549,-0.009,0.029,1.032,255,48
260636638,-1.098,1.463,0.610,0.003,0.026,1.041,255,48
260637369,-1.037,1.463,0.305,0.004,0.029,1.043,255,48
260638638,-0.976,1.280,0.305,-0.001,0.034,1.039,255,48
260639374,-0.915,1.280,0.549,-0.008,0.025,1.039,255,48
260640639,-0.976,1.402,0.732,-0.001,0.032,1.035,255,48
260641438,-0.976,1.402,0.732,-0.001,0.032,1.035,255,48
260642639,-0.976,1.768,0.427,0.002,0.034,1.036,255,48
260643425,-1.220,1.646,0.427,0.000,0.031,1.040,255,48
260644639,-1.159,1.524,0.305,-0.003,0.026,1.034,255,48
260645385,-0.915,1.463,0.305,-0.006,0.026,1.035,255,48
260646638,-1.098,1.646,0.305,-0.005,0.028,1.042,255,48
260647374,-1.159,1.768,0.244,-0.009,0.030,1.038,255,48
260648638,-1.280,1.402,0.244,-0.007,0.028,1.043,255,48
260649369,-1.159,1.220,0.183,0.000,0.028,1.041,255,48
260650638,-1.098,1.280,0.366,0.004,0.027,1.037,255,48
260651374,-1.220,1.463,0.488,-0.003,0.024,1.038,255,48
260652639,-1.220,1.585,0.671,-0.005,0.034,1.037,255,48
260653379,-1.220,1.646,0.488,-0.001,0.030,1.038,255,48
260654639,-1.280,1.707,0.488,0.004,0.023,1.033,255,48
260655375,-1.280,1.707,0.488,0.004,0.023,1.033,255,48
260656639,-1.220,1.646,0.183,0.003,0.037,1.043,255,48
260657367,-1.159,1.585,0.183,-0.007,0.033,1.039,255,48
260658639,-1.037,1.646,0.427,-0.003,0.023,1.032,255,48
260659365,-1.159,1.768,0.244,0.000,0.026,1.034,255,48
260660639,-1.037,1.463,0.549,0.005,0.028,1.035,255,48
260661363,-1.037,1.463,0.549,0.005,0.028,1.035,255,48
260662638,-0.732,1.463,0.427,0.000,0.022,1.032,255,48
260663372,-0.671,1.585,0.366,0.009,0.025,1.030,255,48
260664638,-1.037,1.585,0.549,-0.001,0.032,1.041,255,48
260665422,-0.915,1.585,0.549,-0.003,0.027,1.034,255,48
260666639,-0.793,1.646,0.732,-0.007,0.029,1.038,255,48
260667389,-0.976,1.341,0.671,0.003,0.026,1.041,255,48
260668638,-1.220,1.341,0.488,-0.006,0.020,1.046,255,48
260669379,-1.402,1.524,0.488,-0.003,0.031,1.042,255,48
260670639,-1.402,1.646,0.549,0.000,0.030,1.034,255,48
260671367,-1.463,1.829,0.671,-0.006,0.037,1.034,255,48
260672638,-1.220,1.585,0.488,-0.009,0.031,1.033,255,48
260673384,-0.915,1.646,0.366,-0.009,0.034,1.041,255,48
260674639,-1.037,1.341,0.488,-0.009,0.029,1.025,255,48
260675370,-1.037,1.341,0.488,-0.009,0.029,1.025,255,48
260676638,-0.793,1.707,0.549,-0.002,0.026,1.042,255,48
260677370,-0.976,1.402,0.854,0.000,0.024,1.035,255,48
260678639,-1.159,1.341,0.610,-0.000,0.037,1.032,255,48
260679368,-1.159,1.402,0.610,-0.006,0.029,1.042,255,48
260680658,-0.793,1.402,0.671,0.008,0.032,1.043,255,48
260681739,-0.915,1.463,0.305,-0.011,0.029,1.035,255,48
260682641,-1.098,1.402,0.305,0.001,0.022,1.029,255,58
260683454,-1.037,1.402,0.549,-0.004,0.025,1.040,255,58
260684639,-1.098,1.341,0.366,0.001,0.030,1.040,255,58
260685422,-1.341,1.585,0.427,0.007,0.028,1.036,255,58
260686639,-1.341,1.524,0.549,-0.002,0.026,1.040,255,58
260687390,-0.915,1.463,0.488,-0.005,0.025,1.043,255,58
260688638,-0.915,1.646,0.427,-0.000,0.033,1.041,255,58
260689367,-0.915,1.646,0.427,-0.000,0.033,1.041,255,58
260690638,-0.976,1.524,0.610,-0.006,0.030,1.040,255,58
260691370,-0.976,1.220,0.488,0.001,0.026,1.039,255,58
260692639,-0.915,1.098,0.549,0.000,0.029,1.041,255,58
260693409,-0.854,1.463,0.427,-0.003,0.031,1.042,255,58
260694639,-1.037,1.463,0.427,-0.003,0.026,1.039,255,58
260695390,-1.037,1.463,0.427,-0.003,0.026,1.039,255,58
260696638,-0.976,1.463,0.610,0.002,0.029,1.034,255,58
260697374,-0.854,1.524,0.427,-0.001,0.023,1.044,255,58
260698639,-0.976,1.768,0.366,-0.003,0.031,1.041,255,58
260699414,-1.098,1.463,0.427,-0.006,0.021,1.041,255,58
260700639,-1.037,1.707,0.366,-0.000,0.029,1.040,255,58
260701382,-0.976,1.646,0.183,0.000,0.022,1.038,255,58
260702638,-0.976,1.524,0.427,-0.005,0.040,1.039,255,58
260703383,-0.915,1.463,0.427,-0.001,0.036,1.040,255,58
260704638,-1.037,1.646,0.305,-0.002,0.021,1.041,255,58
260705408,-1.098,1.402,0.183,0.005,0.027,1.038,255,58
260706639,-0.976,1.341,0.244,-0.002,0.026,1.038,255,58
260707385,-1.159,1.463,0.427,-0.000,0.029,1.035,255,58
260708638,-1.159,1.585,0.610,-0.003,0.028,1.043,255,58
260709374,-1.159,1.585,0.610,-0.003,0.028,1.043,255,58
260710639,-0.610,1.463,0.305,-0.009,0.022,1.033,255,58
260711366,-0.915,1.524,0.244,-0.005,0.032,1.042,255,58
260712639,-0.793,1.463,0.427,0.000,0.032,1.037,255,58
260713361,-0.671,1.585,0.488,-0.009,0.024,1.040,255,58
260714638,-0.793,1.341,0.366,-0.007,0.026,1.040,255,58
260715375,-0.854,1.524,0.549,-0.007,0.020,1.037,255,58
260716639,-0.915,1.524,0.183,0.000,0.027,1.045,255,58
260717374,-1.220,1.159,0.122,-0.002,0.022,1.040,255,58
260718639,-1.159,1.402,0.488,-0.001,0.028,1.031,255,58
260719405,-1.037,1.220,0.427,-0.002,0.030,1.031,255,58
260720639,-0.793,1.220,0.549,-0.002,0.027,1.041,255,58
260721387,-0.732,1.098,0.610,-0.006,0.028,1.032,255,58
260722638,-1.037,1.341,0.427,-0.004,0.036,1.036,255,58
260723369,-1.037,1.341,0.427,-0.004,0.036,1.036,255,58
260724638,-1.220,1.524,0.427,0.000,0.031,1.044,255,58
260725364,-1.280,1.463,0.305,0.007,0.026,1.033,255,58
260726639,-1.463,1.220,0.183,-0.001,0.031,1.038,255,58
260727404,-1.402,1.402,0.427,0.002,0.031,1.042,255,58
260728639,-1.341,1.524,0.488,-0.007,0.037,1.033,255,58
260729387,-1.341,1.524,0.488,-0.007,0.037,1.033,255,58
260730638,-1.037,1.707,0.488,0.006,0.026,1.031,255,58
260731721,-0.976,1.768,0.427,-0.004,0.030,1.034,255,58
260732641,-1.037,1.524,0.427,-0.005,0.032,1.034,255,68
260733396,-1.098,1.402,0.366,-0.005,0.024,1.030,255,68
260734638,-1.037,1.463,0.366,-0.000,0.039,1.040,255,68
260735378,-1.037,1.341,0.488,-0.007,0.027,1.031,255,68
260736639,-0.854,1.402,0.305,-0.001,0.029,1.036,255,68
260737434,-0.915,1.341,0.183,0.001,0.034,1.035,255,68
260738639,-0.793,1.402,0.366,-0.005,0.031,1.037,255,68
260739421,-0.915,1.280,0.671,0.005,0.034,1.034,255,68
260740639,-0.793,1.341,0.671,-0.004,0.024,1.035,255,68
260741376,-1.037,1.585,0.610,-0.001,0.029,1.041,255,68
260742639,-1.098,1.524,0.427,0.005,0.037,1.034,255,68
260743369,-1.098,1.524,0.427,0.005,0.037,1.034,255,68
