timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
508026682,-0.854,1.463,0.793,-0.000,0.035,1.035,2,48
508027180,-0.854,1.463,0.793,-0.000,0.035,1.035,2,48
508028711,-0.854,1.524,0.793,-0.000,0.028,1.037,2,48
508029231,-0.915,1.585,0.732,0.000,0.028,1.040,2,48
508030700,-0.854,1.341,0.732,0.004,0.029,1.033,2,48
508031216,-0.671,1.524,0.793,-0.001,0.025,1.042,2,48
508032712,-0.854,1.585,0.854,0.001,0.028,1.039,2,48
508033234,-0.915,1.585,0.732,-0.001,0.024,1.037,2,48
508034222,-0.854,1.402,0.488,0.000,0.029,1.033,2,48
508035700,-1.037,1.524,0.488,-0.001,0.031,1.037,2,48
508036216,-1.159,1.463,0.549,0.001,0.027,1.036,2,48
508037708,-1.220,1.402,0.305,-0.005,0.029,1.043,2,48
508038223,-1.159,1.524,0.732,-0.002,0.023,1.042,2,48
508039700,-0.976,1.524,0.671,0.003,0.021,1.037,2,48
508040213,-1.159,1.341,0.610,0.003,0.021,1.037,2,48
508041700,-1.341,1.585,0.610,0.004,0.024,1.039,2,48
508042212,-1.341,1.585,0.610,0.004,0.024,1.039,2,48
508043700,-0.732,1.402,0.488,0.004,0.023,1.034,2,48
508044209,-0.610,1.463,0.244,-0.002,0.028,1.041,2,48
508045700,-0.854,1.402,0.244,-0.006,0.022,1.041,2,48
508046208,-1.037,1.646,0.488,0.000,0.031,1.044,2,48
508047700,-0.976,1.707,0.305,0.001,0.027,1.036,2,48
508048209,-0.976,1.707,0.305,0.001,0.027,1.036,2,48
508049708,-0.976,1.280,0.305,-0.005,0.027,1.039,2,48
508050218,-1.220,1.341,0.488,0.001,0.024,1.042,2,48
508051700,-1.220,1.341,0.305,-0.002,0.025,1.042,2,48
508052208,-1.220,1.463,0.427,0.001,0.031,1.040,2,48
508053700,-1.159,1.768,0.305,0.001,0.023,1.045,2,48
508054213,-1.159,1.768,0.305,0.001,0.023,1.045,2,48
508055708,-1.159,1.646,0.061,0.006,0.031,1.037,2,48
508056218,-1.159,1.646,0.061,0.006,0.031,1.037,2,48
508057700,-0.915,1.402,0.061,0.001,0.023,1.039,2,48
508058208,-1.159,1.402,0.122,0.002,0.030,1.036,2,48
508059700,-0.854,1.585,0.366,-0.002,0.023,1.042,2,48
508060210,-0.976,1.707,0.305,0.000,0.024,1.040,2,48
508061701,-1.220,1.402,0.122,-0.005,0.021,1.040,2,48
508062215,-1.220,1.402,0.122,-0.005,0.021,1.040,2,48
508063700,-1.159,1.341,0.122,0.000,0.021,1.030,2,48
508064213,-1.220,1.220,0.244,-0.003,0.033,1.038,2,48
508065700,-1.098,1.280,0.000,0.005,0.028,1.036,2,48
508066209,-1.037,1.524,0.122,0.001,0.025,1.034,2,48
508067708,-1.220,1.585,0.122,0.001,0.031,1.036,2,48
508068223,-1.220,1.585,0.122,0.001,0.031,1.036,2,48
508069707,-1.159,1.524,0.122,-0.002,0.027,1.042,2,48
508070227,-1.220,1.341,0.183,0.005,0.024,1.034,2,48
508071700,-1.341,1.402,0.122,0.003,0.022,1.034,2,48
508072213,-1.463,1.341,0.061,0.000,0.021,1.042,2,48
508073700,-1.463,1.159,0.061,0.002,0.026,1.035,2,48
508074208,-1.402,1.220,0.122,-0.004,0.033,1.043,2,48
508075700,-0.976,1.463,0.122,0.005,0.031,1.034,2,48
508076209,-0.976,1.463,0.122,0.005,0.031,1.034,2,48
508077439,-1.098,1.646,0.000,0.005,0.024,1.034,2,48
508078639,-1.220,1.707,0.000,0.004,0.021,1.038,2,58
508079618,-0.976,1.463,-0.122,0.000,0.026,1.043,2,58
508080638,-1.098,1.402,-0.366,0.003,0.031,1.039,2,58
508081567,-1.280,1.280,-0.122,0.005,0.031,1.036,2,58
508082639,-1.280,1.524,0.000,0.000,0.029,1.033,2,58
508083575,-1.037,1.524,0.000,-0.014,0.026,1.036,2,58
508084640,-0.854,1.524,0.122,-0.002,0.024,1.037,2,58
508085571,-0.854,1.402,0.122,-0.001,0.032,1.034,2,58
508086640,-1.037,1.463,0.061,-0.008,0.027,1.040,2,58
508087640,-1.037,1.402,-0.061,0.000,0.024,1.032,2,58
508088172,-1.159,1.463,0.000,-0.003,0.023,1.038,2,58
508089699,-1.037,1.341,0.000,0.000,0.027,1.034,2,58
508090212,-1.037,1.341,0.000,0.000,0.027,1.034,2,58
508091699,-0.976,1.463,0.061,-0.008,0.026,1.042,2,58
508092211,-1.098,1.463,0.061,0.001,0.029,1.041,2,58
508093707,-1.159,1.524,0.183,-0.003,0.026,1.035,2,58
508094233,-1.220,1.585,0.000,-0.004,0.028,1.033,2,58
508095700,-1.220,1.463,-0.183,0.000,0.025,1.040,2,58
508096217,-1.220,1.463,-0.183,0.000,0.025,1.040,2,58
508097699,-1.098,1.463,0.122,0.004,0.029,1.036,2,58
508098216,-1.098,1.524,0.061,-0.000,0.034,1.049,2,58
508099699,-1.341,1.585,0.183,-0.010,0.030,1.039,2,58
508100212,-1.341,1.585,0.122,-0.006,0.024,1.034,2,58
508101699,-1.159,1.402,0.122,0.002,0.025,1.033,2,58
508102212,-1.159,1.402,0.122,0.002,0.025,1.033,2,58
508103699,-1.280,1.585,0.061,-0.008,0.026,1.033,2,58
508104212,-1.463,1.463,0.061,0.002,0.025,1.038,2,58
508105699,-1.220,1.341,0.244,-0.005,0.027,1.042,2,58
508106216,-0.915,1.341,0.122,0.002,0.023,1.038,2,58
508107699,-0.671,1.159,0.000,0.002,0.022,1.034,2,58
508108218,-0.732,1.341,0.122,-0.002,0.026,1.040,2,58
508109699,-1.220,1.585,0.427,-0.005,0.022,1.044,2,58
508110212,-1.220,1.585,0.427,-0.005,0.022,1.044,2,58
508111699,-1.220,1.402,0.305,0.004,0.028,1.040,2,58
508112218,-1.098,1.524,0.427,-0.001,0.030,1.033,2,58
508113707,-1.280,1.463,0.366,0.001,0.021,1.034,2,58
508114234,-1.402,1.280,0.305,0.001,0.030,1.038,2,58
508115701,-1.098,1.341,0.488,0.001,0.019,1.038,2,58
508116215,-1.098,1.341,0.488,0.001,0.019,1.038,2,58
508117707,-1.280,1.707,0.610,-0.000,0.023,1.038,2,58
508118233,-0.976,1.524,0.488,-0.000,0.023,1.041,2,58
508119699,-0.854,1.585,0.244,0.002,0.023,1.042,2,58
508120218,-0.793,1.646,0.366,-0.005,0.025,1.037,2,58
508121699,-1.159,1.402,0.427,0.001,0.030,1.033,2,58
508122212,-1.159,1.402,0.427,0.001,0.030,1.033,2,58
508123699,-1.098,1.585,0.732,-0.001,0.027,1.041,2,58
508124218,-1.098,1.585,0.732,-0.001,0.027,1.041,2,58
508125699,-0.976,1.402,0.549,0.003,0.026,1.037,2,58
508126216,-1.341,1.341,0.549,-0.000,0.026,1.042,2,58
508127453,-1.402,1.524,0.671,0.000,0.036,1.038,2,58
508128639,-1.220,1.402,0.549,-0.010,0.030,1.036,2,68
508129629,-1.280,1.463,0.305,-0.000,0.026,1.033,2,68
508130143,-1.280,1.463,0.305,-0.000,0.026,1.033,2,68
508131702,-1.098,1.220,0.488,-0.002,0.020,1.036,2,68
508132209,-1.159,1.463,0.610,-0.005,0.026,1.042,2,68
508133700,-1.037,1.524,0.793,0.000,0.029,1.032,2,68
508134214,-1.280,1.341,0.854,-0.003,0.024,1.037,2,68
508135700,-0.915,1.402,0.732,0.003,0.023,1.039,2,68
508136208,-0.915,1.402,0.732,0.003,0.023,1.039,2,68
508137700,-1.037,1.341,0.793,0.001,0.025,1.032,2,68
508138214,-0.915,1.220,0.915,-0.005,0.024,1.037,2,68
508139711,-1.098,1.524,0.793,0.003,0.029,1.041,2,68
508140238,-1.402,1.463,0.793,-0.004,0.026,1.042,2,68
508141700,-1.220,1.463,0.732,0.002,0.034,1.042,2,68
508142212,-1.220,1.585,0.732,0.003,0.026,1.045,2,68
508143700,-0.976,1.646,1.037,-0.001,0.024,1.038,2,68
508144208,-0.976,1.646,1.037,-0.001,0.024,1.038,2,68
508145708,-1.159,1.402,0.976,-0.007,0.023,1.037,2,68
508146229,-1.220,1.524,1.098,0.002,0.025,1.035,2,68
508147700,-0.976,1.341,0.915,-0.002,0.039,1.039,2,68
508148208,-1.280,1.585,0.732,0.003,0.034,1.041,2,68
508149700,-1.037,1.463,0.610,-0.001,0.031,1.031,2,68
508150215,-1.037,1.463,0.610,-0.001,0.031,1.031,2,68
508151700,-1.037,1.402,1.037,0.002,0.027,1.034,2,68
508152208,-0.915,1.524,0.915,-0.011,0.027,1.037,2,68
508153700,-1.098,1.402,0.854,-0.000,0.029,1.037,2,68
508154216,-1.220,1.341,1.037,-0.007,0.024,1.033,2,68
508155700,-1.280,1.463,0.976,-0.003,0.024,1.037,2,68
508156208,-1.280,1.463,0.976,-0.003,0.024,1.037,2,68
508157700,-1.037,1.402,0.793,-0.004,0.029,1.042,2,68
508158208,-1.037,1.402,0.793,-0.004,0.029,1.042,2,68
508159700,-0.793,1.402,1.098,0.001,0.023,1.029,2,68
508160212,-0.854,1.280,1.037,-0.006,0.022,1.041,2,68
508161708,-1.037,1.220,0.793,-0.000,0.022,1.035,2,68
508162216,-1.098,1.463,0.854,-0.003,0.033,1.034,2,68
508163700,-0.915,1.585,1.037,-0.003,0.028,1.032,2,68
