timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
218443639,-0.122,1.646,0.854,-0.120,0.110,1.055,255,1100
218444314,-0.122,1.646,0.854,-0.120,0.110,1.055,255,1100
218445640,-1.037,-0.976,1.220,0.185,0.102,1.058,255,1100
218446383,-1.768,-0.671,0.549,0.238,0.019,0.990,255,1100
218447639,-2.195,0.427,0.183,0.126,-0.022,1.169,255,1100
218448372,-1.829,2.195,-0.244,0.030,-0.101,1.009,255,1100
218449639,-1.402,3.171,0.000,-0.094,0.002,1.099,255,1100
218450502,-0.610,3.841,0.305,-0.184,-0.028,0.907,255,1100
218451639,-0.061,1.829,0.854,-0.145,0.073,1.017,255,1100
218452504,-0.244,0.305,0.915,0.108,0.144,1.065,255,1100
218453639,-0.793,-0.976,0.976,0.151,0.107,1.033,255,1100
218454370,-1.646,-0.488,0.671,0.224,0.052,1.011,255,1100
218455639,-1.951,0.427,-0.244,0.137,-0.094,1.080,255,1100
218456502,-1.829,2.744,0.122,-0.008,-0.015,1.041,255,1100
218457639,-0.793,3.537,0.427,-0.207,-0.024,0.872,255,1100
218458618,-0.610,2.988,0.488,-0.235,0.014,1.110,255,1100
218459639,-0.671,1.829,1.159,-0.152,0.088,0.993,255,1100
218460369,0.000,0.488,1.402,0.132,0.121,1.050,255,1100
218461639,-1.098,-0.915,1.341,0.169,0.120,1.002,255,1100
218462374,-1.463,-0.793,0.488,0.258,0.025,1.067,255,1100
218463639,-1.829,2.561,-0.183,0.100,-0.071,1.054,255,1100
218464507,-1.585,3.232,0.183,0.013,-0.007,1.066,255,1100
218465639,-0.976,3.293,0.488,-0.243,0.024,0.917,255,1100
218466372,-0.427,2.744,0.427,-0.235,-0.031,1.124,255,1100
218467639,0.183,1.829,0.854,-0.127,0.135,0.920,255,1100
218468502,0.000,0.366,1.280,0.141,0.099,1.162,255,1100
218469639,-0.671,-0.610,1.341,0.141,0.136,0.930,255,1100
218470370,-1.402,-0.549,0.488,0.272,-0.002,1.137,255,1100
218471639,-1.829,2.805,-0.061,0.034,-0.036,1.215,255,1100
218472627,-1.829,3.293,0.183,-0.144,-0.041,0.948,255,1100
218473639,-0.976,3.171,0.610,-0.201,-0.010,1.010,255,1100
218474620,-0.793,2.744,0.671,-0.248,0.033,1.089,255,1100
218475639,-0.305,1.463,0.793,-0.071,0.091,0.926,255,1100
218476367,-0.488,0.122,1.280,0.089,0.141,1.188,255,1100
218477639,-1.524,-0.244,0.671,0.205,0.093,1.201,255,1100
218478368,-1.524,-0.244,0.671,0.205,0.093,1.201,255,1100
218479639,-2.134,2.561,0.244,0.000,-0.019,1.200,255,1100
218480370,-1.524,3.171,0.183,-0.155,-0.080,0.904,255,1100
218481639,-1.280,3.232,0.671,-0.162,0.029,1.101,255,1100
218482505,-0.610,2.805,0.915,-0.220,0.021,1.050,255,1100
218483639,0.061,1.463,1.280,-0.033,0.072,1.005,255,1100
218484366,-0.122,0.305,1.037,0.007,0.134,1.128,255,1100
218485639,-1.463,0.244,0.671,0.167,0.127,1.168,255,1100
218486370,-1.707,1.280,-0.122,0.155,-0.082,0.875,255,1100
218487639,-1.951,2.134,-0.488,-0.062,-0.010,1.240,255,1100
218488718,-1.524,2.744,-0.061,-0.152,-0.089,0.877,255,1100
218489642,-1.159,2.927,0.610,-0.196,0.059,1.091,255,1100
218490555,-0.488,2.378,0.976,-0.192,-0.005,1.076,255,1100
218491640,-0.366,0.366,1.098,0.063,0.108,1.052,255,1100
218492505,-0.732,-0.122,0.915,0.267,0.143,0.969,255,1100
218493640,-1.585,-0.183,0.305,0.201,0.027,1.171,255,1100
218494384,-1.951,1.341,-0.244,0.075,-0.047,0.865,255,1100
218495640,-2.317,2.195,-0.427,-0.058,-0.074,1.180,255,1100
218496632,-1.951,2.927,0.549,-0.121,0.022,0.897,255,1100
218497640,-0.915,1.951,1.037,-0.191,-0.024,1.125,255,1100
218498508,-0.488,1.402,0.915,-0.174,0.030,1.054,255,1100
218499640,-0.427,0.549,1.037,0.137,0.136,1.023,255,1100
218500372,-0.610,0.122,0.976,0.190,0.102,0.968,255,1100
218501640,-1.707,0.183,0.305,0.197,0.019,1.176,255,1100
218502377,-1.829,1.341,-0.549,0.018,0.004,0.901,255,1100
218503640,-1.951,2.073,-0.488,0.041,-0.088,1.105,255,1100
218504500,-1.646,2.622,0.305,-0.191,0.037,0.987,255,1100
218505640,-0.793,2.073,1.037,-0.169,0.019,1.052,255,1100
218506378,-0.183,1.585,1.159,-0.169,0.019,1.052,255,1100
218507640,-0.061,0.549,1.280,0.146,0.141,1.053,255,1100
218508374,-0.061,0.488,0.915,0.222,0.062,0.994,255,1100
218509640,-0.732,0.549,0.061,0.175,0.053,1.083,255,1100
218510372,-1.341,1.890,-0.671,0.022,-0.030,0.977,255,1100
218511640,-1.280,2.378,0.183,-0.147,-0.040,0.928,255,1100
218512626,-1.280,2.012,0.305,-0.203,-0.006,1.167,255,1100
218513640,-0.915,1.951,0.793,-0.162,0.028,1.047,255,1100
218514506,-0.183,1.585,1.159,0.010,0.123,1.022,255,1100
218515640,-0.122,0.427,0.854,0.128,0.083,1.022,255,1100
218516373,-0.488,0.427,0.427,0.198,0.052,1.073,255,1100
218517640,-1.707,0.976,0.000,0.116,0.075,0.998,255,1100
218518373,-2.073,1.890,-0.427,0.069,-0.007,1.013,255,1100
218519640,-1.646,2.256,0.122,-0.170,-0.061,1.026,255,1100
218520637,-1.402,2.195,0.488,-0.201,-0.028,1.111,255,1100
218521640,-1.037,1.951,0.976,-0.116,0.057,0.982,255,1100
218522503,-0.488,1.280,1.098,0.030,0.087,1.125,255,1100
218523640,0.122,0.488,0.671,0.095,0.102,0.961,255,1100
218524367,-0.427,0.305,-0.183,0.176,0.058,1.101,255,1100
218525640,-1.585,1.646,-0.671,0.092,0.059,1.064,255,1100
218526369,-1.585,1.646,-0.671,0.092,0.059,1.064,255,1100
218527640,-1.585,1.951,0.122,-0.173,-0.052,1.088,255,1100
218528515,-1.341,1.585,0.427,-0.207,0.012,1.158,255,1100
218529640,-0.610,1.646,1.220,-0.050,0.056,0.968,255,1100
218530372,-0.244,1.159,1.341,-0.032,0.101,1.133,255,1100
218531640,-0.793,1.280,-0.183,0.138,0.036,0.903,255,1100
