timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
203049198,-1.646,0.610,1.280,0.158,0.047,1.203,3,1100
203050640,-1.951,2.439,1.220,-0.039,-0.019,1.207,3,1100
203051652,-1.402,4.207,0.732,-0.192,-0.034,1.009,3,1100
203052183,-0.915,4.695,0.183,-0.192,-0.048,1.005,3,1100
203053694,-0.305,1.585,0.549,-0.001,0.092,0.973,3,1100
203054209,-0.305,1.585,0.549,-0.001,0.092,0.973,3,1100
203055705,-0.915,-1.220,0.732,0.170,0.064,0.967,3,1100
203056236,-1.280,-1.220,1.159,0.200,0.054,1.187,3,1100
203057695,-1.890,0.610,1.707,0.090,0.063,0.973,3,1100
203058213,-1.707,2.256,1.585,-0.039,-0.010,1.174,3,1100
203059694,-0.915,4.451,0.244,-0.177,-0.054,0.973,3,1100
203060216,-0.915,4.451,0.244,-0.218,-0.052,1.034,3,1100
203061694,-0.183,1.402,0.854,0.019,0.108,1.002,3,1100
203062205,-0.183,1.402,0.854,0.019,0.108,1.002,3,1100
203063694,-1.037,-1.524,0.915,0.166,0.058,1.010,3,1100
203064208,-1.402,-1.220,1.280,0.166,0.032,1.126,3,1100
203065694,-1.646,0.732,1.768,0.120,0.069,1.027,3,1100
203066203,-1.585,2.500,1.585,-0.016,-0.015,1.150,3,1100
203067694,-0.427,4.695,0.305,-0.205,-0.029,1.025,3,1100
203068216,-0.427,4.695,0.305,-0.205,-0.029,1.025,3,1100
203069694,-0.610,1.951,0.793,-0.005,0.089,1.029,3,1100
203070214,-0.854,-0.305,0.915,0.064,0.055,1.015,3,1100
203071694,-1.159,-1.220,0.793,0.160,0.061,1.063,3,1100
203072216,-1.159,-1.524,1.280,0.207,0.044,1.092,3,1100
203073694,-2.012,2.195,1.524,-0.036,-0.020,1.109,3,1100
203074205,-2.012,2.195,1.524,-0.036,-0.020,1.109,3,1100
203075694,-0.854,4.451,0.122,-0.196,-0.040,1.067,3,1100
203076203,-0.854,4.451,0.122,-0.196,-0.040,1.067,3,1100
203077694,0.122,1.890,1.037,0.014,0.107,1.053,3,1100
203078206,-0.305,-0.671,0.976,0.100,0.053,0.992,3,1100
203079694,-0.976,-1.646,0.671,0.155,0.067,1.103,3,1100
203080215,-1.098,-1.585,1.159,0.187,0.048,1.034,3,1100
203081694,-1.463,2.073,1.829,-0.029,-0.015,1.083,3,1100
203082203,-1.463,2.073,1.829,-0.029,-0.015,1.083,3,1100
203083694,-0.549,4.390,0.366,-0.217,-0.014,1.058,3,1100
203084205,-0.305,4.024,0.427,-0.162,0.023,0.938,3,1100
203085694,-0.305,2.134,0.488,0.001,0.109,1.074,3,1100
203086215,-0.610,-0.671,0.671,0.082,0.026,0.960,3,1100
203087694,-1.402,-1.463,1.220,0.208,0.048,1.011,3,1100
203088205,-1.402,-1.463,1.220,0.208,0.048,1.011,3,1100
203089694,-1.646,2.134,1.463,-0.033,-0.011,1.032,3,1100
203090206,-1.098,3.902,0.549,-0.033,-0.011,1.032,3,1100
203091694,-0.915,4.756,0.061,-0.219,-0.031,1.056,3,1100
203092205,-0.671,3.963,0.427,-0.178,0.019,0.939,3,1100
203093694,-0.488,-0.671,0.915,0.001,0.102,1.075,3,1100
203094208,-0.488,-0.671,0.915,0.092,0.050,0.929,3,1100
203095698,-1.159,-1.646,0.976,0.193,0.046,0.967,3,1100
203096213,-1.159,-1.646,0.976,0.193,0.046,0.967,3,1100
203097697,-1.829,2.134,1.341,-0.030,-0.012,0.991,3,1100
203098217,-1.341,3.720,0.488,-0.174,-0.049,1.032,3,1100
203099694,-0.610,4.451,-0.061,-0.207,-0.033,1.036,3,1100
203100212,-0.183,4.329,0.000,-0.182,0.020,0.955,3,1100
203101694,-0.549,0.061,0.671,0.078,0.051,0.908,3,1100
203102210,-0.549,0.061,0.671,0.078,0.051,0.908,3,1100
203103689,-1.280,-1.585,0.976,0.202,0.046,0.954,3,1100
203104198,-2.012,-0.061,1.341,0.137,0.060,1.216,3,1100
203105694,-2.073,2.134,1.341,-0.032,-0.012,0.958,3,1100
203106215,-1.341,3.720,0.793,-0.151,-0.064,1.074,3,1100
203107694,-0.427,4.146,-0.244,-0.193,0.009,0.968,3,1100
203108205,-0.427,4.146,-0.244,-0.193,0.009,0.968,3,1100
203109694,-0.427,-0.122,0.183,0.076,0.059,0.935,3,1100
203110215,-0.671,-1.524,0.061,0.076,0.059,0.935,3,1100
203111694,-0.915,-1.341,0.549,0.179,0.053,0.938,3,1100
203112208,-1.463,-0.244,1.098,0.146,0.062,1.240,3,1100
203113694,-1.524,1.768,1.098,-0.023,0.000,0.951,3,1100
203114215,-1.098,3.659,0.305,-0.160,-0.041,1.089,3,1100
203115694,-0.427,4.024,-0.366,-0.191,0.021,1.010,3,1100
203116208,-0.427,4.024,-0.366,-0.191,0.021,1.010,3,1100
203117694,-0.305,-0.244,0.183,0.078,0.051,0.975,3,1100
203118214,-0.915,-1.707,0.061,0.153,0.066,1.120,3,1100
203119694,-1.220,-1.402,0.427,0.208,0.049,0.968,3,1100
203120214,-1.707,-0.122,0.610,0.147,0.066,1.201,3,1100
203121694,-0.610,3.415,-0.244,-0.142,-0.048,1.091,3,1100
